id;date_creation;date_lancement;date_cloture;encour;pourcentage_mise;pourcentage_rebourt
1;2019-07-25T19:09:19;2019-07-25T23:55:57;2019-07-25T18:46:19;false;14808;28484
2;2019-07-25T11:55:15;2019-07-26T10:58:52;2019-07-26T05:27:49;true;97661;50267
3;2019-07-26T02:00:06;2019-07-26T10:37:51;2019-07-26T11:04:23;false;34507;90826
4;2019-07-25T20:38:32;2019-07-26T06:07:01;2019-07-25T19:31:47;false;53093;48945
5;2019-07-26T01:07:11;2019-07-25T12:12:40;2019-07-25T22:35:49;false;59269;67213
6;2019-07-26T09:55:33;2019-07-25T17:35:16;2019-07-26T02:59:41;false;24215;72821
7;2019-07-25T16:35:28;2019-07-26T03:02:23;2019-07-26T00:34:45;true;98342;63352
8;2019-07-26T02:17:41;2019-07-25T23:00:29;2019-07-25T16:16:20;false;79834;83530
9;2019-07-26T08:14:57;2019-07-26T04:10:04;2019-07-25T23:40:11;false;69581;4077
10;2019-07-25T15:15:58;2019-07-25T21:41:06;2019-07-26T04:02:36;true;22024;1658
