id;montant;date_mise;date_validation;etat;position_clic
1;21844;2019-07-26T07:23:19;2019-07-26T01:52:13;89255;88328
2;53934;2019-07-26T04:04:56;2019-07-25T16:29:17;12208;89609
3;35629;2019-07-26T04:14:04;2019-07-25T14:06:10;11005;27213
4;22793;2019-07-25T20:19:19;2019-07-26T01:36:57;52;81801
5;35256;2019-07-25T15:12:33;2019-07-26T04:33:06;695;16465
6;51074;2019-07-25T23:02:54;2019-07-26T01:50:55;48482;22210
7;69243;2019-07-26T08:59:23;2019-07-26T05:24:02;33761;24412
8;94290;2019-07-26T07:49:39;2019-07-26T04:06:34;21876;51879
9;55810;2019-07-25T18:59:39;2019-07-26T02:10:28;36362;6489
10;97178;2019-07-26T05:46:21;2019-07-25T12:46:04;24687;25178
